"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","danyakyd",,,,"User:","danyakyd"
"Cmdline:","dstat -tcmndry --output metrics2_2cpu_4gb.csv 5",,,,"Date:","05 Apr 2026 05:09:59 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw"
05-04 05:09:59,,348804,144900,48544,3467524,,,,,,
05-04 05:10:04,5.065,12.156,81.040,1.013,0,351152,141876,48560,3468184,6023.311,6902.597,364.681,380.889,30.390,30.390,647,293
05-04 05:10:09,56.932,22.973,9.988,5.493,0,375600,112136,48568,3473468,317051.216,819641.767,1038.759,11014.840,111.866,1565.130,6258,7535
05-04 05:10:14,68.855,14.073,8.042,5.026,0,376684,92484,48576,3492028,333244.067,854300.542,755.902,12114.530,68.353,1664.592,6213,7615
05-04 05:10:19,73.848,12.559,6.531,4.019,0,380672,85240,48584,3495268,270654.383,692547.998,594.805,10135.800,31.147,1398.596,5380,6059
05-04 05:10:24,72.363,12.476,6.987,4.492,0,381772,79456,48592,3499944,413897.131,1040596.270,970.167,14320.947,50.904,1954.308,7314,9069
05-04 05:10:29,73.298,11.045,9.037,4.016,0,363228,97756,48592,3500244,425759.914,1083632.564,530.158,14430.735,32.131,1961.986,7375,9431
05-04 05:10:34,70.489,11.077,9.063,4.531,0,369624,88020,48596,3503572,438743.845,1138013.720,225.565,14621.472,19.133,2023.040,7558,9443
05-04 05:10:39,73.758,11.462,7.476,4.485,0,371408,83676,48604,3506124,384352.151,977414.722,606.015,12750.240,29.902,1755.251,6802,8311
05-04 05:10:44,62.907,17.201,8.846,5.898,0,364168,107984,48640,3489084,291231.200,755518.934,2516.300,19336.189,61.925,1403.623,5672,6895
05-04 05:10:49,70.688,12.763,8.836,4.418,0,364528,91352,48640,3505356,394853.493,992851.637,942.512,17852.742,49.089,1886.005,7225,8931
05-04 05:10:54,75.263,10.537,7.526,3.512,0,364780,114320,48648,3482236,420670.875,1061480.465,1420.968,15919.663,97.340,1955.839,7494,9311
05-04 05:10:59,64.905,11.483,11.483,6.491,0,365756,102224,48656,3493332,444099.061,1144349.244,786.848,15121.869,59.912,2041.013,7623,9922
05-04 05:11:04,68.655,10.023,11.526,5.512,0,366016,80316,48660,3514632,511905.729,1353627.794,942.123,17014.347,63.142,2272.121,8366,11217
05-04 05:11:09,66.414,20.510,5.372,3.907,0,401336,72884,48664,3486676,328733.876,834935.309,906.354,35769.715,87.901,2048.086,6327,7537
05-04 05:11:14,75.440,16.311,2.549,2.549,0,388540,111944,48672,3460528,208145.780,527552.684,12543.472,7939.577,1554.681,1000.093,5147,4993
05-04 05:11:19,61.104,24.041,7.012,4.007,0,389296,94304,48676,3477400,327531.878,839258.054,797.361,12325.031,87.149,1537.624,6262,7706
05-04 05:11:24,73.287,17.067,5.522,3.012,0,386220,86488,48684,3488636,302116.308,758962.163,16420.369,15878.243,2005.863,1529.998,7326,7224
05-04 05:11:29,73.879,8.925,7.933,4.463,0,373524,97088,48692,3490816,386525.349,982113.122,963.901,12455.348,95.200,1778.060,7061,8581
05-04 05:11:34,71.950,10.493,9.493,4.997,0,368852,86756,48712,3505592,440915.186,1120382.833,799.442,14701.736,85.940,1998.605,7618,9654
05-04 05:11:39,68.819,12.966,9.475,4.987,0,366876,76252,48720,3517808,453428.371,1128804.454,738.060,14226.612,71.811,2102.475,7841,10004
05-04 05:11:44,73.362,9.482,7.985,5.490,0,363680,118512,48732,3478660,346874.800,900213.998,730.628,8871.346,52.901,1456.266,6167,7667
05-04 05:11:49,74.524,8.057,10.071,3.525,0,364476,110988,48744,3485368,408876.974,1059940.672,600.217,12068.801,44.311,1879.204,7124,8758
05-04 05:11:54,75.007,9.501,7.501,4.500,0,365860,102676,48752,3492280,388174.116,973533.580,348.032,12393.153,40.004,1834.171,6922,8484
05-04 05:11:59,70.357,10.405,7.432,6.441,0,366512,97892,48764,3496400,301602.804,764650.178,332.955,8942.222,30.719,1342.721,5743,6778
05-04 05:12:04,73.433,13.259,6.119,4.590,0,367940,92108,48776,3500728,260347.267,659669.884,424.277,7400.378,27.537,1138.206,5207,6009
05-04 05:12:09,62.602,21.535,7.512,4.007,0,399024,108068,48784,3453732,315863.291,810245.248,288.470,10877.711,35.057,1539.507,5999,7220
05-04 05:12:14,70.645,10.868,7.410,5.928,0,379188,115192,48792,3466436,188689.752,485622.702,450.548,6244.439,42.486,866.515,4341,4608
05-04 05:12:19,59.464,12.884,11.893,7.929,0,373472,115792,48800,3471536,309510.268,773194.904,467.784,13090.015,41.625,1595.618,5653,6881
05-04 05:12:24,61.460,18.339,7.435,6.443,0,371072,112768,48808,3476944,215010.227,548447.025,372.722,11649.555,33.704,1235.138,4497,4916
05-04 05:12:29,63.281,13.560,11.551,6.027,0,370104,108168,48816,3482496,412759.616,1052049.554,281.249,17533.891,32.143,1912.496,7057,9048
05-04 05:12:34,57.941,16.342,9.904,8.419,0,370584,103128,48824,3487048,244038.987,625959.827,301.093,12051.650,27.732,1266.770,4868,5688
05-04 05:12:39,73.087,16.296,4.444,3.457,0,371472,98844,48832,3490420,185560.423,469169.724,158.025,10856.350,18.766,1114.080,4477,4599
05-04 05:12:44,69.900,15.086,5.029,4.526,0,367200,98696,49216,3494456,231000.758,604287.275,305.751,12238.078,33.190,1300.447,4813,5237
05-04 05:12:49,67.542,14.727,8.125,5.586,0,366352,94664,49224,3499328,350727.237,887706.015,471.268,15267.469,46.721,1754.053,6304,7581
05-04 05:12:54,16.462,14.966,26.440,7.982,0,367692,89624,49272,3502964,74415.404,193047.038,79.818,11230.405,8.980,389.113,1836,1940
05-04 05:12:59,15.571,13.562,29.132,10.548,0,368220,87356,49276,3504700,115038.375,295051.793,136.620,12577.111,16.073,670.043,2289,2930
05-04 05:13:04,62.321,19.098,10.052,5.528,0,364344,111856,49280,3483912,313273.114,775519.801,1403.230,17803.732,123.637,1700.763,6096,7245
05-04 05:13:09,65.240,23.905,4.980,2.490,0,394716,114188,49284,3451256,321179.541,801006.092,1418.350,16414.610,128.488,1746.044,6381,7549
05-04 05:13:14,80.661,12.866,1.979,2.474,0,392716,84656,49292,3482772,229448.402,584534.983,676.959,10324.609,76.207,1313.339,5137,5454
05-04 05:13:19,64.590,20.529,7.510,4.006,0,382428,82392,49300,3495308,321616.328,831023.849,1794.496,15846.040,180.251,1663.313,6377,7630
05-04 05:13:24,61.919,26.749,4.954,2.972,0,370780,116096,49308,3473480,207368.034,527202.216,16001.913,9708.937,1936.834,1079.872,5812,5263
05-04 05:13:29,69.836,13.157,8.097,6.073,0,365704,93920,49316,3500724,277516.485,708776.511,955.432,11546.150,95.138,1427.075,5440,6285
05-04 05:13:34,72.352,12.305,6.891,4.430,0,364320,82584,49324,3513420,308376.171,798667.812,771.750,12985.876,75.797,1545.469,5989,6937
05-04 05:13:39,67.322,16.704,8.099,5.062,0,365632,102884,49336,3491844,358597.624,920090.552,1955.871,16958.982,169.063,1934.612,6675,8101
05-04 05:13:44,38.121,24.754,3.961,11.387,0,365232,89864,49348,3505148,92862.682,245205.958,293.086,148966.847,21.783,9160.915,3124,2587
05-04 05:13:49,74.770,9.471,8.972,4.985,0,365932,80120,49356,3513956,391815.164,1009383.407,693.861,14140.410,49.846,2004.820,7049,8620
05-04 05:13:54,72.138,10.019,9.518,4.509,0,364240,112572,49364,3483140,429876.195,1107924.629,761.458,12776.466,78.150,1940.716,7454,9259
05-04 05:13:59,75.735,9.467,7.474,4.484,0,363536,100984,49372,3495416,387102.528,973339.257,1223.712,12556.002,107.623,1803.680,6940,8569
05-04 05:14:04,72.553,13.417,7.454,2.982,0,364312,91928,49380,3503680,399376.460,1036139.795,1005.801,12673.885,65.596,1847.612,7146,8908
05-04 05:14:09,65.056,20.017,8.507,4.003,0,382784,116480,49368,3460692,380922.419,951125.035,920.789,13531.595,80.069,1905.633,7031,8656
05-04 05:14:14,69.257,16.940,5.979,4.484,0,387752,86680,49376,3485508,258195.389,658162.422,7944.075,9693.924,215.243,1163.909,5554,6319
05-04 05:14:19,49.117,25.318,14.685,7.089,0,387952,81196,49388,3490780,326710.471,841062.866,1320.595,29004.473,111.400,1637.578,6331,8145
05-04 05:14:24,74.331,14.969,5.678,3.613,0,387060,101020,49396,3471944,351023.180,901146.630,6813.659,12784.901,480.053,1735.418,6897,8253
05-04 05:14:29,72.354,12.797,7.383,3.938,0,385644,81544,49896,3492400,345137.504,853479.602,16014.309,11702.613,587.690,1587.846,7159,8454
05-04 05:14:34,62.632,26.556,5.011,3.006,0,385280,86776,49900,3487908,332841.713,848560.978,18759.550,12249.826,525.107,1525.216,6536,7580
05-04 05:14:39,20.794,29.210,16.833,4.456,0,391504,82360,49864,3486528,85154.024,212125.588,2416.054,21475.156,45.549,447.564,2466,2681
05-04 05:14:44,39.726,40.732,1.006,2.514,0,396380,109344,50024,3455180,105070.970,279026.626,3391.333,20951.436,194.107,505.884,3269,3324
05-04 05:14:49,43.758,22.125,3.933,6.392,0,397036,81188,50148,3482032,172421.852,428287.526,2843.804,20280.296,247.800,727.668,3934,4746
05-04 05:14:54,47.478,29.487,11.995,6.497,0,384716,98488,49952,3476872,219843.513,574220.533,863.605,29258.626,79.963,986.549,4976,6182
05-04 05:14:59,67.437,16.363,7.934,4.463,0,371216,79552,49956,3508816,294086.124,758363.997,444.290,11884.752,36.694,1572.865,5773,6880
05-04 05:15:04,66.494,17.368,6.451,3.474,0,365348,83348,49924,3510844,286151.094,730658.485,309.644,10670.821,32.751,1534.328,5591,6392
05-04 05:15:09,65.383,23.136,5.532,3.521,0,396676,96908,49912,3465996,264633.923,665109.479,893.238,10437.208,60.354,1359.975,5447,6224
05-04 05:15:14,67.094,15.021,7.511,5.007,0,384232,99444,49916,3475892,238585.039,618455.890,632.886,8555.979,42.059,1153.615,4894,5446
05-04 05:15:19,16.832,9.406,0,3.465,0,383720,97300,49920,3478544,13189.366,41407.737,7.921,58805.105,0.990,2272.321,902,508
05-04 05:15:24,60.577,25.032,3.004,1.502,0,373544,96800,49924,3489208,260974.786,685073.957,624.794,9780.434,49.062,1256.598,5183,5817
05-04 05:15:29,57.223,24.813,6.077,4.558,0,373040,81724,49924,3504788,221613.882,574490.553,2471.210,9593.157,276.492,1240.669,4814,5125
05-04 05:15:34,44.279,9.950,21.891,9.950,0,373120,102388,49908,3484060,270915.376,699658.749,246.768,9647.830,16.916,1288.566,4789,6122
05-04 05:15:39,70.523,12.004,9.003,4.001,0,369144,100628,49916,3489788,365992.642,900261.834,2640.856,13748.457,135.044,1757.570,6814,8221
05-04 05:15:44,76.617,12.047,3.373,2.891,0,367956,94628,49924,3496968,148307.437,362363.422,824.953,6661.301,26.984,826.880,4049,3779
05-04 05:15:49,70.621,13.210,7.113,4.065,0,368848,88588,49936,3502096,308448.154,799746.373,1715.232,10332.039,48.774,1462.215,5789,6771
05-04 05:15:54,69.085,13.405,8.249,5.156,0,366964,80828,49944,3511732,315258.608,809268.558,1979.756,10344.225,47.432,1441.510,5714,6589
05-04 05:15:59,71.560,12.599,9.575,4.032,0,364924,125016,49952,3469596,342126.742,873523.300,1213.494,12215.573,53.418,1665.027,6295,7404
05-04 05:16:04,72.424,14.882,7.441,3.968,0,366072,115452,49960,3478004,285948.233,723007.821,1515.935,10936.956,84.329,1451.448,5665,6469
05-04 05:16:09,61.993,16.998,10.499,5.499,0,391256,81892,49968,3486372,305653.499,776722.245,2791.667,11934.575,70.992,1688.798,5905,6699
05-04 05:16:14,4.968,20.864,64.083,0.497,0,357220,90992,49976,3511300,0,0,2996.508,1017.382,375.557,72.528,1139,425
05-04 05:16:19,0,1.496,97.742,0.997,0,344244,102852,49980,3512412,0,0,0,586.450,0,42.887,118,134
05-04 05:16:24,0.999,1.998,95.400,1.498,0,342440,104640,49988,3512420,0,0,0,311.674,0,29.969,206,161
05-04 05:16:29,0,2.505,94.200,3.006,0,342344,104720,49988,3512436,0,0,0,18362.939,0,480.018,408,283
05-04 05:16:34,0,0,99.373,0,0,342340,104720,49992,3512436,0,0,0,0,0,0,57,92
05-04 05:16:39,1.504,3.009,95.277,0,0,341636,105416,49992,3512444,0,0,0,617.796,0,65.189,222,151
05-04 05:16:44,0.498,0.498,98.158,0,0,341620,105416,50000,3512452,0,0,0,0,0,0,90,94
05-04 05:16:49,0.500,0.500,99.002,0,0,341612,105416,50008,3512452,0,0,0,160.003,0,19.000,82,99
